City,State,Latitude,Longitude,Population_estimate_2022,Population_2020,Change_population,Land_area,Population_density_2020
New York,New York,40.7127281,-74.0060152,8335897,8804190,-5.32,300.5,29298
Los Angeles,California,34.0536909,-118.242766,3822238,3898747,-1.96,469.5,8304
Chicago,Illinois,41.8755616,-87.6244212,2665039,2746388,-2.96,227.7,12061
Houston,Texas,29.7589382,-95.3676974,2302878,2304580,-0.07,640.4,3599
Phoenix,Arizona,33.4484367,-112.074141,1644409,1608139,2.26,518.0,3105
Philadelphia,Pennsylvania,39.9527237,-75.1635262,1567258,1603797,-2.28,134.4,11933
San Antonio,Texas,29.4246002,-98.4951405,1472909,1434625,2.67,498.8,2876
San Diego,California,32.7174202,-117.1627728,1381162,1386932,-0.42,325.9,4256
Dallas,Texas,32.7762719,-96.7968559,1299544,1304379,-0.37,339.6,3841
Austin,Texas,30.2711286,-97.7436995,974447,961855,1.31,319.9,3007
Jacksonville,Florida,30.3321838,-81.655651,971319,949611,2.29,747.3,1271
San Jose,California,37.3361663,-121.890591,971233,1013240,-4.15,178.3,5683
Fort Worth,Texas,32.753177,-97.3327459,956709,918915,4.11,347.3,2646
Columbus,Ohio,39.9622601,-83.0007065,907971,905748,0.25,220.0,4117
Charlotte,North Carolina,35.2272086,-80.8430827,897720,874579,2.65,308.3,2837
Indianapolis,Indiana,39.7683331,-86.1583502,880621,887642,-0.79,361.6,2455
San Francisco,California,37.7790262,-122.419906,808437,873965,-7.5,46.9,18635
Seattle,Washington,47.6038321,-122.330062,749256,737015,1.66,83.8,8795
Denver,Colorado,39.7392364,-104.984862,713252,715522,-0.32,153.1,4674
Oklahoma City,Oklahoma,35.4729886,-97.5170536,694800,681054,2.02,606.2,1123
Nashville,Tennessee,36.1622767,-86.7742984,683622,689447,-0.84,475.8,1449
El Paso,Texas,31.7865623,-106.441207,677456,678815,-0.2,258.4,2627
Washington,District of Columbia,38.8950368,-77.0365427,671803,689545,-2.57,61.1,11286
Las Vegas,Nevada,36.1672559,-115.148516,656274,641903,2.24,141.8,4527
Boston,Massachusetts,42.3554334,-71.060511,650706,675647,-3.69,48.3,13989
Portland,Oregon,45.5202471,-122.674194,635067,652503,-2.67,133.5,4888
Louisville,Kentucky,38.2542376,-85.759407,624444,633045,-1.36,324.9,1948
Memphis,Tennessee,35.1460249,-90.0517638,621056,633104,-1.9,297.0,2132
Detroit,Michigan,42.3315509,-83.0466403,620376,639111,-2.93,138.7,4608
Baltimore,Maryland,39.2908816,-76.610759,569931,585708,-2.69,80.9,7240
Milwaukee,Wisconsin,43.0349931,-87.922497,563305,577222,-2.41,96.2,6000
Albuquerque,New Mexico,35.0841034,-106.650985,561008,564559,-0.63,187.3,3014
Tucson,Arizona,32.2228765,-110.974847,546574,542629,0.73,241.0,2252
Fresno,California,36.7394421,-119.7848307,545567,542107,0.64,115.2,4706
Sacramento,California,38.5810606,-121.493895,528001,524943,0.58,98.6,5324
Mesa,Arizona,33.4151005,-111.831455,512498,504258,1.63,138.7,3636
Kansas City,Missouri,39.100105,-94.5781416,509297,508090,0.24,314.7,1615
Atlanta,Georgia,33.7489924,-84.3902644,499127,498715,0.08,135.3,3686
Colorado Springs,Colorado,38.8339578,-104.825348,486248,478961,1.52,195.4,2451
Omaha,Nebraska,41.2587459,-95.9383758,485153,486051,-0.18,141.6,3433
Raleigh,North Carolina,35.7803977,-78.6390989,476587,467665,1.91,147.1,3179
Virginia Beach,Virginia,36.8529841,-75.9774183,455618,459470,-0.84,244.7,1878
Long Beach,California,33.7690164,-118.191604,451307,466742,-3.31,50.7,9206
Miami,Florida,25.7820042,-80.22256438834017,449514,442241,1.64,36.0,12284
Oakland,California,37.8044557,-122.271356,430553,440646,-2.29,55.9,7883
Minneapolis,Minnesota,44.9772995,-93.2654692,425096,429954,-1.13,54.0,7962
Tulsa,Oklahoma,36.1563122,-95.9927516,411867,413066,-0.29,197.5,2091
Bakersfield,California,35.3738712,-119.0194639,410647,403455,1.78,149.8,2693
Tampa,Florida,27.9477595,-82.458444,398173,384959,3.43,114.0,3377
Wichita,Kansas,37.6922361,-97.3375448,396192,397532,-0.34,162.0,2454
Arlington,Texas,32.7355816,-97.1071186,394602,394266,0.09,95.9,4111
Aurora,Colorado,39.7405111,-104.830994,393537,386261,1.88,160.1,2413
New Orleans,Louisiana,29.9759983,-90.0782127,369749,383997,-3.71,169.5,2265
Cleveland,Ohio,41.4996574,-81.6936772,361607,372624,-2.96,77.7,4796
Anaheim,California,33.8347516,-117.911732,344461,346824,-0.68,50.3,6895
Honolulu,Hawaii,21.2891309,-157.7173915,343421,350964,-2.15,60.5,5801
Henderson,Nevada,36.0301134,-114.9826194,331415,317610,4.35,106.2,2991
Stockton,California,37.9577016,-121.2907796,321819,320804,0.32,62.2,5158
Riverside,California,33.9824949,-117.3742389,320764,314998,1.83,81.2,3879
Lexington,Kentucky,38.0464066,-84.4970393,320347,322570,-0.69,283.6,1137
Corpus Christi,Texas,27.7635302,-97.4033191,316239,317863,-0.51,162.2,1960
Orlando,Florida,28.5421109,-81.3790304,316081,307573,2.77,110.6,2781
Irvine,California,33.6856969,-117.8259819,313685,307670,1.96,65.6,4690
Cincinnati,Ohio,39.1014537,-84.5124602,309513,309317,0.06,77.8,3976
Santa Ana,California,33.7494951,-117.8732213,308189,310227,-0.66,27.3,11364
Newark,New Jersey,40.735657,-74.1723667,305344,311549,-1.99,24.1,12927
Saint Paul,Minnesota,44.9497487,-93.0931028,303176,311527,-2.68,52.0,5991
Pittsburgh,Pennsylvania,40.4416941,-79.9900861,302898,302971,-0.02,55.4,5469
Greensboro,North Carolina,36.0726355,-79.7919754,301115,299035,0.7,129.6,2307
Lincoln,Nebraska,40.8088861,-96.7077751,292627,291082,0.53,97.7,2979
Durham,North Carolina,35.996653,-78.9018053,291928,283506,2.97,112.8,2513
Plano,Texas,33.0136764,-96.6925096,289547,285494,1.42,71.7,3982
Anchorage,Alaska,61.2163129,-149.894852,287145,291247,-1.41,1706.8,171
Jersey City,New Jersey,40.7215682,-74.047455,286670,292449,-1.98,14.7,19894
St. Louis,Missouri,38.6280278,-90.1910154,286578,301578,-4.97,61.7,4888
Chandler,Arizona,33.3062031,-111.8411851,280711,275987,1.71,65.3,4226
North Las Vegas,Nevada,36.2005843,-115.121584,280543,262527,6.86,101.3,2592
Chula Vista,California,32.6400541,-117.0841955,279170,275487,1.34,49.6,5554
Buffalo,New York,42.8867166,-78.8783922,276486,278349,-0.67,40.4,6890
Gilbert,Arizona,33.3527632,-111.789037,275346,267918,2.77,68.6,3906
Reno,Nevada,39.5261206,-119.8126581,273448,264165,3.51,108.8,2428
Madison,Wisconsin,43.074761,-89.3837613,272903,269840,1.14,79.6,3390
Fort Wayne,Indiana,41.0799898,-85.1386015,267927,263886,1.53,110.7,2384
Toledo,Ohio,41.6529143,-83.5378173,266301,270871,-1.69,80.5,3365
Lubbock,Texas,33.5635206,-101.879336,263930,257141,2.64,134.6,1910
St. Petersburg,Florida,27.7700475,-82.6359078,261256,258308,1.14,61.8,4180
Laredo,Texas,27.5030915,-99.5075644,256187,255205,0.38,106.5,2396
Irving,Texas,32.8295183,-96.9442177,254715,256684,-0.77,67.0,3831
Chesapeake,Virginia,36.7183708,-76.2466798,252488,249422,1.23,338.5,737
Glendale,Arizona,33.5386858,-112.185994,252136,248325,1.53,61.6,4031
Winston-Salem,North Carolina,36.0998131,-80.2440518,251350,249545,0.72,132.7,1881
Scottsdale,Arizona,33.4942189,-111.926018,243050,241361,0.7,184.0,1312
Garland,Texas,32.912624,-96.6388833,240854,246018,-2.1,57.1,4309
Boise,Idaho,43.6166163,-116.200886,236634,235684,0.4,84.0,2806
Norfolk,Virginia,36.8448348,-76.2863999,232995,238005,-2.1,53.3,4465
Port St. Lucie,Florida,27.2939333,-80.3503283,231790,204851,13.15,119.2,1719
Spokane,Washington,47.6571934,-117.42351,230160,228989,0.51,68.8,3328
