"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"AI/ML Engineer","New York, NY","2024-05-29","Wesper","THE OPPORTUNITY

Wesper is looking for a smart and creative engineer to lead our AI/ML efforts and product initiatives. This includes advanced ML modeling for large-scale healthcare data synthesis, deep physiological signal optimization pipelines, and generative AI architectures. The right candidate will have an opportunity to research, design and implement novel solutions alongside the software team, and serve as a subject matter expert on all artificial intelligence matters for the company.

Reports into VP R&D.

Responsibilities


 * Work with CTO, VP R&D, and software leadership to shape and commercialize Wesper’s AI/ML strategy
 * Design and implement feature engineering and ML models for both physiological-level and population-level processing of large-scale clinical sleep data for predictive automation
 * Participate in Wesper’s discovery and evolution efforts into generative AI
 * Assist with ongoing post-market maintenance of AI/ML applications, including defect resolution and general enhancements
 * Generate documentation as necessary for internal and customer-facing objectives
   
   

Requirements


 * BS/MS in Computer Science, Electrical Engineering or equivalent
 * 2+ years experience shipping modern AI/ML solutions
 * Expertise in full-stack ML modeling, including deep learning and feature engineering applications
 * Familiarity, through research or community involvement, with up-to-date generative AI pipelines
 * Strong Python skills
   
   

ADVANTAGES


 * Experience working in a fast-paced / start-up environment
 * Experience with conventional signal processing applications
 * Experience with MATLAB
   
   

OUR TEAM— Built for Good

We pride ourselves on transparent communication— open discussion is critical to our performance and is how we continue to grow. We focus on accountability, humility, and constant learning. We believe in finding a better way through the use of data and attention to detail. We work towards making sleep medicine easy and we do it for our users.

Compensation

The salary range for this role is $110- $120,000 is based on a wide range of compensation factors. Actual salary offer may vary based on (but not limited to) work experience, education and/or training, critical skills, and/or business considerations. Total compensation will also include an equity component.

Perks & Benefits


 * Global team
 * Friendly, nerdy coworkers
 * Daily stand-ups and open door policy
 * Encouragement to pursue initiatives
 * Flexible paid time off
 * Casual dress
 * Support for personal development
 * Referral bonuses
   
   

About Wesper

Mission-driven startup aiming to make accurate sleep testing more convenient, affordable, and

accessible.

Sleep disorders are a hidden epidemic that reduces quality and length of life for more than

10% of the population. The difficulty in diagnosing and monitoring sleep conditions is a major

obstacle to the health of 100Ms of people worldwide.

Wesper is transforming the sleep industry by shrinking an entire sleep lab to a single wearable

patch, helping millions live better, longer lives. Our platform delivers consumer comfort with

clinical performance by using cutting-edge sensor design, a cloud-native suite of state-of-the-art

algorithms and a sleek mobile app, creating a seamless experience for both patient and doctor.

Powered by JazzHR

DJukofev64","Over 200 applicants","Full-time","Mid-Senior level","Engineering and Information Technology","Internet Publishing"
"Software Engineer - AI/ML Systems","Redwood City, CA","","Snorkel AI","We're on a mission to democratize AI by building the definitive AI data development platform. The AI landscape has gone through incredible change between 2016, when Snorkel started as a research project in the Stanford AI Lab, to the generative AI breakthroughs of today. But one thing has remained constant: the data you use to build AI is the key to achieving differentiation, high performance, and production-ready systems. We work with some of the world's largest organizations to empower scientists, engineers, financial experts, product creators, journalists, and more to build custom AI with their data faster than ever before. Excited to help us redefine how AI is built? Apply to be the newest Snorkeler! You'll work closely with other engineers, product managers, and field team members to ensure that Snorkel Flow users working with NLP use cases can build high quality training datasets, integrate with the latest foundation model technology to build and adapt models, and take advantage of state-of-the-art error analysis and development automation Main Responsibilities Prototype, optimize, and maintain scalable back-end services that will power new ML development workflows Design extensible and testable interfaces between internal services including the underlying storage and data models Own the architecture, design, development, and operations of large-scale NLP-focused AI/ML tasks including data management systems, data representation, micro-services design, and connect to the front-end components. Work with customers and product and sales teams to understand product use case, desired capabilities, and scale requirements. Translate that to engineering specifications and code Keep CI/CD pipelines healthy and support customers in production via engaged on-call support Be an engaged team player in a customer-focused cross-functional environment where you will feel excited to take on whatever is most impactful for the company and product Work a hybrid schedule with one or two days per week in our Redwood City HQ and work remotely with ""No Meeting"" Tuesdays and Thursdays Required Qualifications Bachelor's degree in Computer Science or related field 2 years experience in delivering distributed systems and services in a production setting for cloud-native applications Strong development and debugging skills in python Experience with deep learning frameworks such as PyTorch Strong communication and coding skills with emphasis on designing for scale and robustness Proactive and positive attitude to lead, learn, troubleshoot and take ownership of shipping multi-quarter large feature development as well as immediate debugging and unblocking customers Preferred Qualifications 5 years of professional software engineering experience Experience with NLP and relevant libraries such as scikit-learn, spaCy, xgboost, torch Experience developing enterprise software products for machine learning and/or data science applications Experience building and maintaining large scale, distributed and high performance data pipelines for AI/ML tasks The salary range for this position based in the San Francisco Bay Area is $130,000.00 - $230,000.00. All offers include equity compensation in the form of employee stock options. If you're a recent university graduate, please submit your application via the Recent University Graduate opening. Be Your Best At Snorkel Snorkel AI is on a mission to make machine learning practical for everyone, and it starts with building a team that welcomes, represents and gives opportunity to all. We work at the frontier of AI and software engineering, and believe that underrepresented communities need to play a part in shaping the future of these fields. At Snorkel AI, we actively work to create an environment that values end-to-end ownership, diverse forms of impact, and opportunities for personal growth. Snorkelers are supported by an amazing team and an amazing set of benefits. We offer comprehensive medical, dental, and vision plans for Snorkelers and their families, plus a yearly wellness stipend. Our 401k program lets Snorkelers plan for their future and our parental leave program lets new parents take up to 20 weeks of paid time off. Learn more about these benefits and more - like our workstation setup allowance - on our Careers page. Snorkel AI is proud to be an Equal Employment Opportunity employer and is committed to building a team that represents a variety of backgrounds, perspectives, and skills. Snorkel AI embraces diversity and provides equal employment opportunities to all employees and applicants for employment. Snorkel AI prohibits discrimination and harassment of any type on the basis of race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local law. All employment is decided on the basis of qualifications, performance, merit, and business need. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.","51 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"ML Engineer at 100% Remote","San Jose, CA","2024-06-01","ELITE MENTE LLC","Hello ,

Hope you are doing well!

Please do let me know if you are interested for the below role we have with our client.

ML Engineer

San Jose, CA (Remote)

Long Term contract

Visa: Any

LinkedIn must Strong for this role.

C2C

Job Description

Senior Profiles with 10 Yrs and A Master's or Ph.D. degree in Computer Science, Statistics, Data Science, or a related field.

Solid knowledge of software engineering best practices, including version control systems (e.g., Git), code reviews, and testing methodologies.

Backend Server & SDK development - programming languages (GO/GRPC, Java, Python)

GCP Vertex AI Components and SDK Experience

Experience with React UI is needed

Mandatory Skills: GoLang, Java

Optional : GCP Vertex AI, React, SDK","Be among the first 25 applicants","Full-time","Entry level","Engineering and Information Technology","Staffing and Recruiting"
"Machine Learning Engineer (L4) - Infrastructure Algorithms and ML","Los Gatos, CA","2024-05-19","Netflix","At Netflix our goal is to entertain the world. Our 200+ million members stream award-winning content, and play thousands of hours of games, from 190 countries. Everything that we build to delight our members, and all of the work we do to figure out how to do that better, relies on our extensive infrastructure, particularly the resources we rent from AWS. We invest heavily in this infrastructure as we are one of AWS’s biggest customers. We are always looking for ways to use these resources better. Algorithms and ML help us do this by being smarter about how we distribute the work across our fleet.

As a Machine Learning Engineer, you will join a team of Infrastructure Machine Learning Engineers who you will work closely with to develop new ways ML can improve the performance, efficiency and reliability of Netflix’s foundational systems. You will also help support existing systems that are designed to operate at Netflix scale and work with our infrastructure engineering teams to ensure the reliability of these systems.


In This Role, You Will



 * Partner closely with Infrastructure Machine Learning Engineers to build systems designed to improve our extensive infrastructure.
 * Help Infrastructure Machine Learning Engineers maintain and support existing systems.
 * Use your experience supporting existing systems to inform how we can improve support processes to allow us to scale effectively.
 * Help evangelize this work with the broader Algos and ML community at Netflix.
   
   
   
   

You Are



 * Motivated by your curiosity for understanding how complex systems work, especially large scale cloud infrastructure and distributed systems.
 * Self-motivated to learn, with an ability to work closely with engineering and ML engineering partners.
 * A strong coder with experience in Python and standard ML frameworks like PyTorch and TensorFlow. Experience with languages like Java or C++ is a plus.
 * Some experience in implementing and productionizing models in large scale industrial settings is a plus
 * Familiarity with optimization models with standard frameworks/solvers (e.g., XPress, cvxpy, Gurobi).
 * Familiarity with operational tooling for ML services (monitoring, alerting, etc.), and services for model hosting/serving.
 * Someone who has “strong opinions, loosely held”. You use data to back up your ideas and are willing to change your mind if new data comes to light.
 * Able to communicate your ideas clearly and succinctly with the right amount of detail to audiences with varying technical backgrounds
   
   
   

Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $170,000 - $720,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Netflix is a unique culture and environment. Learn more here.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity of thought and background builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.","Over 200 applicants","Full-time","Not Applicable","Engineering and Information Technology","Entertainment Providers, Technology, Information and Internet, and Movies, Videos, and Sound"
"Data Scientist / ML Engineer","Redwood City, CA","","Paradyme, Inc.","Overview

Paradyme Management is a rapidly growing government technology leader that puts service first, for its customers, its team and the communities it supports. Paradyme harnesses DevSecOps and Agile development processes to deliver exceptional results for digital transformations. With headquarters office in Tysons Corner, VA, Paradyme’s award-winning culture sets it apart through its team’s deep commitment to service and collaboration with its customers, each other and the community. Learn more at www.paradyme.us .

Responsibilities

Paradyme Management is hiring a Data Scientist /ML Engineer to support mission critical programs.

Duties

The Data Scientist /ML Engineer will work directly with data scientists, software engineers, and subject matter experts in the definition of new analytics capabilities able to provide our federal customers with the information they need to make proper decisions and enable their digital transformation. Duties include:


 * Research, design, implement, and deploy Machine Learning algorithms for enterprise applications.
 * Assist and enable federal customers to build their own applications.
 * Contribute to the design and implementation of new features.
   
   

Qualifications


 * MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields.
 * Minimum 2 years relevant work experience.
 * Excellent programming skills in Python.
 * Applied Machine Learning experience (regression and classification, supervised, and unsupervised learning).
 * Strong mathematical background (linear algebra, calculus, probability, and statistics).
 * Experience with scalable ML (MapReduce, streaming).
 * Ability to drive a project and work both independently and in a team.
 * Smart, motivated, can-do attitude, and seeks to make a difference.
 * Excellent verbal and written communication.
   
   

Nice To Have


 * Real passion for developing team-oriented solutions to complex engineering problems.
 * Thrive in an autonomous, empowering and exciting environment.
 * Great verbal and written communication skills to collaborate multi-functionally and improve scalability.
 * Interest in committing to a fun, friendly, expansive, and intellectually stimulating environment.
 * Hands-on experience deploying and operating applications using IaaS and PaaS on major cloud providers, such as Amazon AWS, Microsoft Azure, or Google Cloud Services.
 * Experience with deep learning, natural language processing, computer vision, or reinforcement learning.
 * Conveys highly technical concepts and information in written form to technical and non-technical audiences.
 * The ability to work on multiple concurrent projects is essential. Strong self -motivation and the ability to work with minimal supervision.
 * Must be a team-oriented individual, energetic, result & delivery oriented, with a keen interest on quality and the ability to meet deadlines.
 * Ability to work in an agile environment
   
   

Physical Requirements: These are the essential physical requirements needed to successfully perform the job.


 * Sedentary work.
    * Requires sitting up to 8 hours per day.
    * May require lifting up to 5 pounds unassisted.
    * Fine repetitive motor skills with hands, wrists, and fingers in coordination with eyes.

 * Hearing, speaking, and vision: Adequate to perform job duties and communicate in person, via video, and telephone. Includes reading information from printed sources and computer screens.
 * Other: Work may be performed in an office environment, which may involve frequent contact with staff and the public. Work may be stressful at times.
   

Paradyme Management, Inc. is committed to the full inclusion of all qualified individuals. In keeping with our commitment, Paradyme will take the steps to ensure that people with disabilities are provided reasonable accommodations. Accordingly, if a reasonable accommodation is required to fully participate in the job application or interview process, to perform the essential functions of the position, and/or to receive all other benefits and privileges of employment, please contact Rose Luczak, Director of People Operations at rose.luczak@paradyme.us or at (571) 289-0548

EEO Statement

Paradyme is a federal contractor and an EEO and an Affirmative Action Employer. All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, pregnancy-related disability, physical or mental disability, genetic information, sexual orientation, marital status, familial status, personal appearance, occupation, citizenship, veteran or military status, gender identity or expression, or any other characteristic protected by federal, state or local law.","110 applicants","Full-time","Entry level","Engineering and Information Technology","IT Services and IT Consulting"
"ML Engineer-AI/ML","Austin, TX","2024-04-30","Zortech Solutions","Role: ML Engineer-AI/ML

Location: Austin, TX (Onsite)

Duration: Fulltime

Job Description

H1B Transfer should be fine

Design, develop, and deploy AI/ML models using Python, TensorFlow, and other

relevant technologies.


 * Utilize genetic algorithms to optimize solutions for various applications, such as resource
   
   

allocation, scheduling, and predictive modeling.


 * Collaborate with cross-functional teams to understand project requirements and develop
   
   

innovative AI solutions to address business needs.


 * Conduct research and stay updated on the latest advancements in AI/ML, particularly in
   
   

the field of genetic algorithms.


 * Evaluate model performance and implement improvements to enhance overall efficiency
   
   

and accuracy.

Requirements


 * Bachelor's or Master's degree in Computer Science, Engineering, or related field.
 * Proven experience as an AI/ML Engineer with a strong focus on coding and software
   
   

development.


 * Hands-on experience with Python, TensorFlow, and other relevant programming
   
   

languages and libraries.


 * Demonstrated expertise in implementing genetic algorithms for optimization tasks.
 * Familiarity with machine learning techniques such as supervised learning, unsupervised
   
   

learning, and reinforcement learning.


 * Excellent problem-solving skills and ability to think creatively to develop innovative
   
   

solutions.


 * Strong communication skills and ability to collaborate effectively with cross-functional
   
   

teams.

Preferred Qualifications


 * Experience working with large-scale datasets and distributed computing frameworks.
 * Knowledge of cloud computing platforms such as AWS, Azure, or Google Cloud.
 * Previous experience in industries such as healthcare, finance, or manufacturing.
 * experience in using GenAI frameworks like OpenAI","67 applicants","Full-time","Entry level","Engineering and Information Technology","Human Resources Services"
"Junior Machine Learning Engineer","Boulder, CO","","HireMeFast LLC","This is a remote position.

DISCLAIMER: This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process.

Salary: $65,000 - $75,000 per annum

Experience Required: Minimum 1 year of project experience

Role Description

This is a full-time remote position for an Artificial Intelligence Engineer. The AI Engineer will be responsible for developing and testing AI models, designing and implementing machine learning algorithms, and researching and implementing artificial intelligence techniques. The AI Engineer will also work closely with cross-functional teams to integrate AI/ML solutions.

Qualifications


 * Strong background in Computer Science and Software Development
 * Experience in Pattern Recognition, Neural Networks, and Natural Language Processing (NLP)
 * Experience with relevant programming languages such as Python, C++, and Java
 * Ability to design, develop, and test AI models and machine learning algorithms
 * Excellent problem-solving skills and creativity
 * Experience with cloud computing and big data technologies
 * Strong verbal and written communication skills
 * Bachelor's or Master's degree in Computer Science or related field","26 applicants","Full-time","Entry level","Information Technology","Software Development"
"ML/ Machine Learning/ Data Scientist/ AI/ Artificial Intelligence  Engineer","Richardson, TX","2024-05-20","HatchPros","T+S

USC/GC

Need VISA, DL and LinkedIn

Job Summary


 * Designing and implementing ML infrastructure and tools that support the end-to-end ML development lifecycle.
 * Developing and maintaining CI/CD pipelines for ML models and data.
 * Collaborating with data scientists and engineers to understand their needs and help them develop, test, and deploy ML models, detect, and correct model drift in the data, enable pre-production testing, and ingest large volumes of structured and unstructured data for modeling.
 * Optimizing the performance of ML models in a production environment.
 * Ensuring security and compliance of ML systems.
 * Strong Data Engineering skills.
 * 1-2 years of work experience with MLOps lifecycle management.
 * 1-2 years of work experience with workflow platforms such as MLflow.
 * 1-2 years of work experience with Docker and containerization.
 * 1-2 years of work experience with Kubernetes and container orchestration platforms.
 * 1-2 years of work experience with Python, Pyspark or Scala development.
 * 1-2 years of work experience with Azure, AWS, Google Cloud, or other cloud computing platforms.
 * 1-2 years of work experience with Databricks, Snowflake, Redshift, or other cloud database management platforms.
   
   

Role & Responsibilities


 * Work in a collaborative environment with global teams to drive client engagements in a broad range of industries to design and build scalable AI and Machine Learning solutions, solve business problems, and create value by leveraging client data.
 * Clean, preprocess, and transform raw data into a suitable format for machine learning models. This may involve tasks like data normalization, feature engineering, and handling missing values.
 * Deploy machine learning models into production environments, ensuring scalability, reliability, and real-time performance. This may involve containerization, API development, and integration with existing systems.
 * Assist in the design, development, and implementation of machine learning algorithms and models to solve specific business problems or improve existing processes. Support client and internal team members by contributing to coding, testing, and debugging tasks.
 * Optimize machine learning algorithms and infrastructure for performance, scalability, and cost-efficiency. This may involve parallelization, distributed computing, and resource management.
 * Collaborate with data scientists, software engineers, domain experts, and client stakeholders to understand requirements, gather feedback, and integrate machine learning solutions into larger systems or products.
 * Stay updated on the latest advancements in machine learning, MLOps, and related fields, and apply new techniques and technologies to improve existing models or develop innovative solutions.
   
   

Qualifications


 * 1 -2 years of industry experience, with work in a quant or data scientist field preferred
 * Master?s degree or PhD in Computer Science, Statistics, Economics, Mathematics, or other closely related field.
 * Excellent team-oriented and interpersonal skills, with a strong interest in consulting.
 * Outstanding communication skills with the ability to clearly articulate findings and present solutions to business partners.
   
   

Preferred Qualifications


 * Experience with one or two of the following: MLOps, Deep Learning methods, NLP, computer vision, sentiment analysis, topic modeling and graph theory, and databases.
 * Experience with common data science tools such as Python, R, PyTorch, TensorFlow, Keras, NLTK, Spacy, or Neo4j, and a good understanding of modeling platforms such as Azure AutoML, SageMaker, DataBricks, DataRobot, and H2O.ai.
 * Experience working with big data distributed programming languages, and ecosystems such as Spark, Hadoop, MapReduce, Pig, Kafka.
 * Familiarity with Cloud-based environments such as AWS (S3/EC2), Azure,and Google Cloud.
 * Knowledge of other coding languages such as Java, Matlab, SAS, C++.
 * Experience with building and deploying predictive and prescriptive analytics models effectively.
   
   

Prashant Raghuvanshi

Principal Recruitment Executive

655 Mohican Dr. Easton, PA 18040

LinkedIn","145 applicants","Contract","Mid-Senior level","Engineering and Information Technology","IT Services and IT Consulting"
"Research Analyst/ Jr. ML Engineer/ Jr. AI Engineer/ NLP Engineer","Irving, TX","2024-05-14","Ascendion","Job Description

Knowledge and Skills


 * Analytics, AI, machine learning, natural language processing (NLP), natural language understanding (NLU), large language models (LLMs)
 * Generative AI prompt engineering and tuning
 * Design of AI/ML model performance metrics and optimization
 * Intermediate to Advanced level Python coding
 * SQL
 * Working knowledge of LLM models like LLaMA 2, Mistral 7B etc.
 * Intents, entities, dialogs, actions, and related chat bot concepts are a plus
 * Strong ability to learn AI concepts and experiment with new libraries and ML models for various use cases
 * Self-starter with excellent communication skills
   
   

Education


 * Bachelor’s degree in Data Science, Computer Science, or related discipline.
 * Master’s degree is a plus.
   
   

Company Description

Ascendion is an ally for enterprise digital innovation.

We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. By embracing the future of work, we bring creativity and execution excellence together to make the digital journey valuable (and even fun)!

Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation for Global 2000 clients.

Headquartered in New Jersey, our hybrid workforce delivers solutions from around the globe. Ascendion is committed to building technology that elevates life with an inclusive workforce, service to our communities, and a vibrant culture.

Ascendion is an ally for enterprise digital innovation. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. By embracing the future of work, we bring creativity and execution excellence together to make the digital journey valuable (and even fun)! Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation for Global 2000 clients. Headquartered in New Jersey, our hybrid workforce delivers solutions from around the globe. Ascendion is committed to building technology that elevates life with an inclusive workforce, service to our communities, and a vibrant culture.","Over 200 applicants","Full-time","Entry level","Research, Analyst, and Information Technology","Technology, Information and Internet"
"ML/AI Engineer - Optimization","Houston, TX","2024-05-15","Cognitive Space","Cognitive Space uses the power of AI to help organizations forecast, optimize, and orchestrate their satellite constellations.

What You’ll Be Doing

You are skilled in developing models, knowledgeable in operations research (OR), and interested in building intelligent space systems to modernize satellites' operations. In this role, you should be highly analytical with a knack for analysis, math and statistics. We want to see a passion for mathematical problem solving and research. The ideal candidate will have a strong background in operations research, mathematics, and/or computer science. You should have experience with optimization techniques, such as linear programming, integer programming, and dynamic programming, as well as experience with developing and applying simulation models. You must be comfortable taking ideas from theory into deployment. As a ML/AI Engineer you will also:


 * Develop and implement mathematical models and algorithms to solve complex business problems
 * Utilize optimization techniques such as linear programming, integer programming, and dynamic programming
 * Develop and apply simulation models
 * Develop and refine optimization models that enhance efficiency and effectiveness of satellite operations
 * Explore and visualize aerospace simulation data to support algorithm development
 * Building tools to automate data collection and analysis
 * Collaborate with aerospace domain experts, and software developers to understand customer needs
   
   

What You Will Need


 * US Citizenship, Permanent Resident (Green) Card
 * 1+ years of professional experience as a Machine Learning Engineer, AI Engineer, Applied Scientist, or similar role
 * Bachelor’s, Master’s degree, or Ph.D. in a relevant field: Statistics, Applied Mathematics, Operations Research, Computational Physics, Computer Science, Engineering, etc
 * Experience developing and implementing large scale optimization models using linear programming, mixed Integer programming and heuristics
 * Proficiency with Python or Rust and data science libraries such as Numpy, and Pandas.
 * Familiarity with a machine learning framework, such as TensorFlow, Keras, PyTorch or similar
 * Basic knowledge of software development principles and architecture
 * Proficiency in Jupyter Notebook or similar for development, testing and communicating results
 * Proficiency with Linux development environment
 * Ability to communicate complex data in a simple, actionable way
 * Ability to work in a team and work collaboratively on complex tasks
 * Outstanding analytical and problem-solving skills
   
   

Salary

$140,000 - $170,000

We value job-related knowledge and skills, education, and experience. That’s why we will determine your actual level and base salary on a case-by-case basis, taking into account these factors. We believe this will ensure a fair and competitive compensation for you.

Perks

One of the most interesting aspects of working at a startup company is gaining equity in the company, which means our success is your success. In addition to equity in the form of options, we also offer:


 * Flexible Time-Off policy & company holidays
 * Cost-effective health care, dental, and vision with company contributions.
 * 401K plan with company match
 * Life insurance
 * Short term and long-term disability
   
   

Location

Houston, TX

We are an Equal Opportunity Employer.

We value job-related knowledge and skills, education, and experience. That’s why we will determine your actual level and base salary on a case-by-case basis, taking into account these factors. We believe this will ensure a fair and competitive compensation for you.

We are an Equal Opportunity Employer.

Powered by JazzHR

RbXSq4fnbr","85 applicants","Full-time","Mid-Senior level","Engineering and Information Technology","Internet Publishing"
